well,red_vol,yellow_vol,blue_vol,water_vol,measured_red,measured_green,measured_blue
E3',0,0,0,0,147.43060302734375,146.30062866210938,135.41062927246094
E2',0,0,0,0,153.8903350830078,117.22434997558594,109.83460998535156
E1',0,0,0,0,144.90846252441406,154.73135375976562,140.49490356445312
D12',0,0,0,0,160.8739471435547,176.27064514160156,161.46951293945312
D11',0,0,0,0,117.32481384277344,165.34169006347656,151.5362548828125
D10',0,0,0,0,136.210693359375,76.68958282470703,71.92645263671875
D9',0,0,0,0,152.91734313964844,165.6291961669922,152.13490295410156
D8',0,0,0,0,171.63107299804688,174.727783203125,157.17347717285156
D7',0,0,0,0,118.7498550415039,162.59291076660156,64.45498657226562
D6',0,0,0,0,136.1322784423828,176.67897033691406,163.58062744140625
D5',0,0,0,0,169.52439880371094,175.3152313232422,73.50764465332031
D4',0,0,0,0,99.33625793457031,63.7181396484375,63.74076461791992
D3',0,0,0,0,163.2722625732422,156.06700134277344,140.6384735107422
D2',0,0,0,0,75.31253814697266,136.27882385253906,139.09144592285156
D1',0,0,0,0,118.38606262207031,75.39336395263672,74.81697845458984
C12',0,0,0,0,158.8641357421875,162.6922149658203,55.665916442871094
C11',0,0,0,0,172.36474609375,178.44650268554688,80.04078674316406
C10',0,0,0,0,148.0220947265625,54.203975677490234,20.978776931762695
C9',0,0,0,0,139.06060791015625,144.7406463623047,29.63062286376953
C8',0,0,0,0,154.69830322265625,66.23334503173828,21.37593650817871
C7',0,0,0,0,128.510986328125,97.63577270507812,49.283355712890625
C6',0,0,0,0,116.47989654541016,48.822425842285156,14.292524337768555
C5',0,0,0,0,142.1456756591797,73.05409240722656,64.16575622558594
C4',0,0,0,0,150.3675994873047,99.17063903808594,93.14014434814453
C3',0,0,0,0,66.66021728515625,145.05859375,151.48019409179688
C2',0,0,0,0,156.9256591796875,90.58280944824219,29.013671875
C1',0,0,0,0,143.2921142578125,87.9422836303711,34.44837951660156
B12',0,0,0,0,163.4053192138672,170.8323974609375,64.97769165039062
B11',0,0,0,0,59.67082214355469,136.4347686767578,137.99163818359375
B10',0,0,0,0,159.64138793945312,154.86708068847656,139.28872680664062
B9',0,0,0,0,78.5962905883789,150.3749542236328,148.1663055419922
B8',0,0,0,0,137.1790771484375,55.31898880004883,46.36578369140625
B7',0,0,0,0,85.07650756835938,142.8757781982422,77.15882873535156
B6',0,0,0,0,144.77073669433594,127.26200866699219,118.24104309082031
B5',0,0,0,0,165.95693969726562,149.4910430908203,134.28062438964844
B4',0,0,0,0,159.12240600585938,110.4633560180664,104.18431091308594
B3',0,0,0,0,176.707275390625,182.43731689453125,136.88616943359375
B2',0,0,0,0,143.8811492919922,72.07990264892578,66.57810974121094
B1',0,0,0,0,114.65692138671875,148.84080505371094,138.1833038330078
A12',0,0,0,0,63.78703689575195,122.3563461303711,122.21276092529297
A11',0,0,0,0,135.31973266601562,134.82003784179688,37.63843536376953
A10',0,0,0,0,136.54486083984375,83.04576873779297,19.961191177368164
A9',0,0,0,0,113.17810821533203,152.30813598632812,142.5472869873047
A8',0,0,0,0,163.78213500976562,170.89157104492188,68.76708984375
A7',0,0,0,0,140.50009155273438,83.23490905761719,52.50665283203125
A6',0,0,0,0,159.79238891601562,159.66171264648438,42.17347717285156
A5',0,0,0,0,154.51541137695312,155.85231018066406,40.0273551940918
A4',0,0,0,0,88.74493408203125,64.73333740234375,66.4727783203125
A3',0,0,0,0,141.07742309570312,66.97283935546875,58.63227462768555
A2',0,0,0,0,147.83094787597656,156.08018493652344,42.28034973144531
A1',0,0,0,0,158.4003448486328,163.48558044433594,67.28062438964844
